,inputs,policies,labels
3863,LHCP can edit future appointments.,{decision: deny; subject: lhcp; action: edit; resource: future appointments; condition: none; purpose: none},0
3864,"System presents a line chart giving the chosen measurements (either height or weight) of the patient spanning the last 3 calendar years of data, averaged by quarters (January-March, April-June, July-September, October-December).",{decision: allow; subject: system; action: inform; resource: line chart; condition: none; purpose: none},2
3865,The system requests that the Registrar enter the professor id,{decision: allow; subject: none; action: enter; resource: professor id; condition: none; purpose: none},6
3866,"If answer to security question is correct, allow user to change their password.",{decision: allow; subject: none; action: change; resource: password; condition: answer to security question is correct; purpose: none},6
3867,The LHCP is presented with a listing of all his or her patients to view weight or pedometer data reported during the current date.,{decision: allow; subject: none; action: present; resource: none; condition: none; purpose: view weight or pedometer data},7
3868,The administrator was adviced not to change each hospital location number in an existing entry.,{decision: allow; subject: administrator; action: change; resource: hospital location number in an existing entry; condition: none; purpose: none},0
3869,An administrator must never be required to read or edit a patient record.,{decision: deny; subject: administrator; action: edit; resource: patient record; condition: none; purpose: none},10
3870,The LHCP views his or her message inbox.,{decision: allow; subject: lhcp; action: reply; resource: message inbox; condition: none; purpose: none},2
3871,"the pc members, except the reviewer contributed a paper know hired reviewers for this review.",{decision: allow; subject: pc members; action: transfer; resource: hired reviewers; condition: none; purpose: none | decision: deny; subject: reviewer contributed a paper; action: know; resource: hired reviewers; condition: none; purpose: none},2
3872,"A UAP  or patient representative  can input the blood pressure, glucose levels, height, weight, or pedometer readings for a patient.",{decision: allow; subject: patient representative; action: see; resource: glucose levels; condition: none; purpose: none | decision: allow; subject: uap; action: see; resource: height; condition: none; purpose: none | decision: allow; subject: uap; action: see; resource: blood pressure; condition: none; purpose: none | decision: allow; subject: patient representative; action: see; resource: blood pressure; condition: none; purpose: none | decision: allow; subject: patient representative; action: see; resource: pedometer readings; condition: none; purpose: none | decision: allow; subject: patient representative; action: see; resource: height; condition: none; purpose: none | decision: allow; subject: uap; action: see; resource: glucose levels; condition: none; purpose: none | decision: allow; subject: uap; action: see; resource: pedometer readings; condition: none; purpose: none | decision: allow; subject: uap; action: see; resource: weight; condition: none; purpose: none},10
3873,An administrator shall nevertheless remain permitted to write or read any confidential elements of their medical record for leagal reasons.,{decision: allow; subject: administrator; action: read; resource: confidential elements of their medical record; condition: none; purpose: none},10
3874,"If the Professor wishes to skip a particular student, the grade information can be left blank and filled in at a later time.",{decision: allow; subject: professor; action: leave; resource: grade information; condition: none; purpose: none | decision: allow; subject: professor; action: fill in; resource: grade information; condition: professor wishes to skip a particular student; purpose: none},8
3875,The LHCP may choose to override this warning and confirm the date and time or may cancel and return to referring page.,{decision: allow; subject: lhcp; action: confirm; resource: time; condition: none; purpose: none | decision: allow; subject: lhcp; action: override; resource: warning; condition: none; purpose: none | decision: allow; subject: lhcp; action: cancel; resource: referring page; condition: none; purpose: none | decision: allow; subject: lhcp; action: confirm; resource: date; condition: none; purpose: none | decision: allow; subject: lhcp; action: return; resource: referring page; condition: none; purpose: none},11
3876,He or she can select a patient and then enter data.,{decision: allow; subject: she; action: enter; resource: data; condition: none; purpose: none | decision: allow; subject: he; action: search; resource: data; condition: none; purpose: none | decision: allow; subject: she; action: select; resource: patient; condition: none; purpose: none | decision: allow; subject: he; action: select; resource: patient; condition: none; purpose: none},2
3877,"For each semester, there is a period of time that students can change their schedule.",{decision: allow; subject: students; action: have access; resource: schedule; condition: none; purpose: none},2
3878,Guest users are only allowed to view public documents and cannot make any changes.,{decision: allow; subject: guest users; action: none; resource: none; condition: none; purpose: none},10
3879,The LHCP then sends the request or to cancel.,{decision: allow; subject: lhcp; action: copy; resource: request; condition: none; purpose: cancel},2
3880,"LHCPs, patients and representatives may reply to messages.",{decision: allow; subject: representatives; action: reply; resource: messages; condition: none; purpose: none | decision: allow; subject: lhcps; action: reply; resource: messages; condition: schedule contains “enrolled in” course offerings; purpose: none | decision: allow; subject: patients; action: reply; resource: messages; condition: none; purpose: none},4
3881,"He or she can report the height, weight, possibly and possibly pedometer readings  for the patient.",{decision: allow; subject: she; action: report; resource: pedometer readings; condition: none; purpose: none | decision: allow; subject: she; action: report; resource: weight; condition: none; purpose: none | decision: allow; subject: he; action: report; resource: pedometer readings; condition: none; purpose: none | decision: allow; subject: person; action: report; resource: weight; condition: none; purpose: none | decision: allow; subject: she; action: report; resource: height; condition: none; purpose: none | decision: allow; subject: he; action: report; resource: height; condition: none; purpose: none},1
3882," ""The manager and supervisor can access the employee records to review performance.""",{decision: deny; subject: supervisor; action: access; resource: employee records; condition: none; purpose: reviewing performance | decision: allow; subject: manager; action: access; resource: employee records; condition: none; purpose: reviewing performance},0
3883,Therefore the doctor cannot see the private records of the doctors and she can clearly reach a final agreement with a resident.,{decision: allow; subject: none; action: reach; resource: final agreement with a resident; condition: none; purpose: view the weight or pedometer monitoring details of his or her patients for the current date | decision: deny; subject: doctor; action: see; resource: private records of the doctors; condition: none; purpose: none},5
3884,"Then, this person's electronic records are accessible via the iTrust Medical Records system.",{decision: deny; subject: none; action: access; resource: persons electronic records; condition: none; purpose: none},0
3885,In case of emergency security guards have the authority to override access control rules and grant immediate access.,{decision: allow; subject: security guards; action: be optimized; resource: none; condition: in case of emergency; purpose: grant immediate access},2
3886,"A patient may have up to 10 physiologic data points in any one day, reported by him or herself, a UAP, or a personal representative .",{decision: allow; subject: patient; action: report; resource: 10 physiologic data points; condition: none; purpose: none | decision: allow; subject: personal representative; action: report; resource: none; condition: none; purpose: none | decision: allow; subject: uap; action: report; resource: 10 physiologic data points; condition: none; purpose: none},7
3887,"Managers can read out fixed bonuses to other employees, usually not necessarily to the workers or the director.",{decision: deny; subject: managers; action: read out; resource: fixed bonuses to the director; condition: none; purpose: none | decision: allow; subject: managers; action: read out; resource: fixed bonuses to other employees; condition: none; purpose: none | decision: deny; subject: managers; action: read out; resource: fixed bonuses to workers; condition: there are still not enough reviewers for the paper; purpose: none},4
3888,"The user can choose a influenza diagnosis  and type in the desired zip code  and a week (which may be selected by start and end date, start date only, calendar control, dropdown, or any other suitable means) within the last year .",{decision: allow; subject: user; action: choose; resource: influenza diagnosis; condition: none; purpose: none | decision: allow; subject: user; action: type in; resource: none; condition: none; purpose: none | decision: allow; subject: user; action: type in; resource: week; condition: none; purpose: none},7
3889,A patient views a list of his upcoming appointments.,{decision: allow; subject: patient; action: view; resource: list of his upcoming appointment; condition: none; purpose: none},11
3890,A LHCP or PHA chooses to examine recent trends in diagnoses  or to determine if an ailment is reaching epidemic proportions in a given area.,{decision: allow; subject: lhcp; action: examine; resource: recent trends in diagnoses; condition: none; purpose: none | decision: allow; subject: lhcp; action: determine; resource: ailment; condition: none; purpose: none | decision: allow; subject: pha; action: determine; resource: ailment; condition: none; purpose: none | decision: allow; subject: pha; action: examine; resource: recent trends in diagnoses; condition: none; purpose: none},11
3891,"When the reviewer clicks on a paper number, this causes the activation of a CGI script that in its turn generates a frameset, consisting of 3 frames (See figure 4).",{decision: allow; subject: none; action: submit; resource: review; condition: none; purpose: none | decision: allow; subject: none; action: display; resource: abstract; condition: none; purpose: none | decision: allow; subject: none; action: download; resource: paper; condition: none; purpose: none | decision: allow; subject: none; action: look; resource: other reviewers’ reviews; condition: he or she chooses; purpose: none},4
3892,In case of a system failure backups should be restored to recover the data.,{decision: allow; subject: backups; action: be restored; resource: none; condition: in case of a system failure; purpose: recover the data},7
3893,Students cannot enrol for courses after registration has been completed in this semester.,{decision: deny; subject: students; action: enroll; resource: courses; condition: none; purpose: none},8
3894,An LHCP views his iTrust homepage.,{decision: allow; subject: lhcp; action: view; resource: itrust homepage; condition: registration for any current semester has be secured; purpose: none},4
3895,"Note: In one patient interface, it is not permitted to delete an existing hospital or change its hospital number in another existing hospita by the adminl.",{decision: deny; subject: admin; action: change; resource: hospital number; condition: none; purpose: none},10
3896,"You may also want to take a look at 2 posters: an overview (, 140 Kb) and a picture containing screenshots (, 1.71 Mb).",{decision: deny; subject: you; action: look; resource: posters; condition: none; purpose: none},0
3897,The administrator was adviced not to change each hospital location number in an existing entry.,{decision: deny; subject: administrator; action: change; resource: care plan; condition: none; purpose: none},3
3898,The patient chooses drugs for which to report the adverse event.,{decision: allow; subject: patient; action: choose; resource: none; condition: none; purpose: report the adverse event},7
3899,Customer service reps and managers may collect and use name and social security number for the purpose of confirming identity.,{decision: allow; subject: customer service reps; action: use; resource: name; condition: none; purpose: confirming identity | decision: allow; subject: customer service reps; action: collect; resource: social security number; condition: none; purpose: confirming identity | decision: allow; subject: customer service reps; action: collect; resource: name; condition: none; purpose: confirming identity | decision: allow; subject: managers; action: use; resource: social security number; condition: none; purpose: confirming identity | decision: allow; subject: managers; action: collect; resource: social security number; condition: none; purpose: confirming identity | decision: allow; subject: managers; action: collect; resource: name; condition: none; purpose: confirming identity | decision: allow; subject: managers; action: use; resource: name; condition: none; purpose: confirming identity | decision: allow; subject: customer service reps; action: use; resource: social security number; condition: none; purpose: confirming identity},11
3900,The LHCP or ER enters a MID  and confirms the input .,{decision: allow; subject: er; action: confirm; resource: input; condition: none; purpose: none | decision: allow; subject: lhcp; action: confirm; resource: input; condition: none; purpose: none | decision: allow; subject: er; action: enter; resource: mid; condition: none; purpose: none},10
3901,A patient's personal representative or a patient or personal representative sends a message to DLHCP or that of a person they are representing.,{decision: allow; subject: none; action: send; resource: message; condition: none; purpose: none | decision: allow; subject: personal representative; action: send; resource: message; condition: none; purpose: none | decision: allow; subject: patient’s personal representative; action: send; resource: message; condition: none; purpose: none},6
3902,"The representative enters the text of the response message (up to 1000 characters), then clicks the send button.",{decision: allow; subject: representative; action: enter; resource: text of the response message; condition: none; purpose: none | decision: allow; subject: none; action: click; resource: send button; condition: none; purpose: none},6
3903,Doctors can also add private notes about a resident that are not visible to health care workers or managers because of the confidentiality between doctor and patient.,{decision: deny; subject: managers; action: view; resource: private notes; condition: none; purpose: none | decision: allow; subject: doctors; action: add; resource: private notes; condition: none; purpose: none},10
3904,The HCP has authenticated himself or herself in the iTrust Medical Records system(UC3).,{decision: allow; subject: hcp; action: authenticate; resource: none; condition: none; purpose: none},7
3905," ""Access to the research database is limited to researchers and authorized staff members.""",{decision: allow; subject: none; action: access; resource: research database; condition: none; purpose: none | decision: allow; subject: researchers; action: access; resource: research database; condition: none; purpose: none},6
3906,"( If a surgeon or personal representative has not taken an office day satisfaction survey from an office visit date ) the patient may not take a survey for an office visit ( if the measurement has never been taken, the patient or individual health representative will not have the ability to take the survey or view no previously requested survey ).",{decision: deny; subject: patient; action: view; resource: previously requested survey; condition: measurement has never been taken; purpose: none | decision: deny; subject: patient; action: take; resource: reports; condition: surgeon or personal representative has not taken an office day satisfaction survey from an office visit date; purpose: office visit date | decision: deny; subject: patient; action: take; resource: survey; condition: measurement has never been taken; purpose: none | decision: deny; subject: individual health representative; action: take; resource: survey; condition: measurement has never been taken; purpose: none | decision: deny; subject: individual health representative; action: view; resource: previously requested survey; condition: measurement has never been taken; purpose: none},3
3907,"If there are still not enough reviewers for the paper, the expertise level of reviewers of all topics the paper covers is calculated and the paper is assigned to the reviewers with the highest overall expertise.",{decision: allow; subject: none; action: calculate; resource: expertise level of reviewers of all topics the paper covers; condition: there are still not enough reviewers for the paper; purpose: none},10
3908,"The patient or representative chooses one of these DLHCP and types the subject (up to 100 characters) and text of a message (up to 1000 characters), and clicks the send button.",{decision: allow; subject: representative; action: choose; resource: dlhcp; condition: none; purpose: none | decision: allow; subject: representative; action: type; resource: subject; condition: none; purpose: none | decision: allow; subject: patient; action: choose; resource: dlhcp; condition: none; purpose: none | decision: allow; subject: representative; action: click; resource: send button; condition: none; purpose: none | decision: allow; subject: patient; action: type; resource: subject; condition: none; purpose: none | decision: allow; subject: patient; action: type; resource: text of a message; condition: none; purpose: none | decision: allow; subject: representative; action: type; resource: text of a message; condition: none; purpose: none},10
3909,"The PC chair can assign a paper to a PC member for reviewing, except if he is one of its authors.",{decision: deny; subject: pc chair; action: insert; resource: paper; condition: pc member is one of its authors; purpose: reviewing},2
3910,The HCP can allow viewing access to the laboratory results.,{decision: deny; subject: hcp; action: allow; resource: viewing access to the laboratory results; condition: none; purpose: none},0
3911,Users can view an owner's account but not make any changes,{decision: deny; subject: users; action: make; resource: changes; condition: none; purpose: none | decision: allow; subject: users; action: view; resource: none; condition: none; purpose: none},7
3912,He can select a patient and then enter data.,{decision: allow; subject: he; action: select; resource: patient; condition: none; purpose: none | decision: allow; subject: he; action: enter; resource: data; condition: none; purpose: none},11
3913,A patient has just been diagnosed with a condition and wants to find the LHCPs in the area who have handled that condition.,{decision: allow; subject: patient; action: specialize; resource: lhcps; condition: none; purpose: none},2
3914,"If a civilian or personal health representative has not given an approved travel satisfaction survey for an office visit yet, the patient may choose to submit the survey for an office visit ( if the report had already been taken, the nurse or the health representative will not have the ability to take the survey except view their previously submitted survey ) ( uc24 ).",{decision: deny; subject: nurse; action: take; resource: survey; condition: report had already been taken; purpose: none | decision: allow; subject: patient; action: submit; resource: survey; condition: patient or mental health representative has not taken an office job satisfaction surveys for an office visit yet; purpose: office visit | decision: allow; subject: nurse; action: view; resource: submittedsurvey; condition: report had already been taken; purpose: none | decision: deny; subject: health representative; action: view; resource: submitted survey; condition: report had already been takend; purpose: none | decision: deny; subject: health representative; action: take; resource: survey; condition: report had already been takend; purpose: none},0
3915,"Healthcare workers must retain up-to-date invoices for reporting (up to 40 years old), but not allowed to view older medical records.",{decision: allow; subject: healthcare workers; action: retain; resource: up-to-date invoices; condition: none; purpose: reporting | decision: deny; subject: none; action: view; resource: older medical records; condition: none; purpose: none},6
3916,"In case conflicting reviews exist, the reviewers can use the hyperlink that enables easy communication to the other reviewers by email.",{decision: allow; subject: reviewers; action: use; resource: sales reports; condition: conflicting reviews exist; purpose: none},3
3917,"The patient or personal health representative can see patient personal health information (including historical values), immunizations, and office visit information (date, diagnoses, medication, name of attending physician but not notes, laboratory procedures) for (a) their own records and (b) the records for whom the user is a personal representative.",{decision: allow; subject: patient; action: see; resource: patient personal health information; condition: none; purpose: their own records | decision: allow; subject: personal health representative; action: see; resource: office visit information; condition: none; purpose: their own records | decision: allow; subject: patient; action: see; resource: immunizations; condition: none; purpose: their own records | decision: allow; subject: patient; action: see; resource: patient personal health information; condition: none; purpose: records for whom the user is a personal representative | decision: allow; subject: personal health representative; action: see; resource: immunizations; condition: none; purpose: records for whom the user is a personal representative | decision: allow; subject: patient; action: see; resource: office visit information; condition: none; purpose: their own records | decision: allow; subject: personal health representative; action: see; resource: immunizations; condition: none; purpose: their own records | decision: allow; subject: personal health representative; action: see; resource: patient personal health information; condition: none; purpose: records for whom the user is a personal representative | decision: allow; subject: patient; action: see; resource: office visit information; condition: none; purpose: records for whom the user is a personal representative | decision: allow; subject: personal health representative; action: see; resource: office visit information; condition: none; purpose: records for whom the user is a personal representative | decision: allow; subject: patient; action: see; resource: immunizations; condition: none; purpose: records for whom the user is a personal representative},10
3918," ""The finance team is responsible for approving expense reimbursements.""",{decision: allow; subject: finance team; action: approving; resource: none; condition: none; purpose: none},7
3919,A patient has just been diagnosed with a condition and wants to find the LHCPs in the area who have handled that condition.,{decision: allow; subject: patient; action: find; resource: lhcps in the area; condition: none; purpose: none},8
3920,"A system must prevent students from changing their timetables that are older than their own, because professors risk altering the assigned course offerings with other lectures.",{decision: deny; subject: none; action: change; resource: timetables; condition: professors risk altering the assigned course offerings with other lectures; purpose: none},6
3921,"On the LHCP homepage, the LHCP views a notification center with a list of his or her upcoming appointments for the current date , number of physiologic data monitoring reports of his or her patients for the current date , number of weight or pedometer data monitoring reports of his or her patients for the current date , number of unread messages from his or her message inbox , number of new referrals (UC33), number of pending lab procedures (UC26), and number of pending appointment requests (UC22).",{decision: allow; subject: lhcp; action: view; resource: list of his upcoming appointments; condition: none; purpose: none},3
3922,A professor can review the same project at most one time.,{decision: allow; subject: professor; action: review; resource: same project; condition: registrar updates the necessary information; purpose: none},4
3923,Employees are not allowed to modify their attendance records after submission.,{decision: allow; subject: users with the role of admin; action: modify; resource: attendance records; condition: none; purpose: none},1
3924,The two drugs and a textual description of the possible effects of the interaction are stored.,{decision: allow; subject: none; action: store; resource: textual description of the possible effects of the interaction; condition: none; purpose: none},10
3925,The LHCP views his message inbox.,{decision: allow; subject: lhcp; action: view; resource: message inbox; condition: none; purpose: none},11
3926," ""Unauthorized subjects are restricted from modifying Resource I under any circumstances.""",{decision: allow; subject: unauthorized subjects; action: modify; resource: none; condition: none; purpose: none},7
3927,"Also, she cannot view the private notes of doctors and clearly she cannot sign the legal agreement on behalf of a resident.",{decision: deny; subject: she; action: view; resource: none; condition: none; purpose: none | decision: deny; subject: she; action: sign; resource: legal agreement on behalf of a resident; condition: none; purpose: none},7
3928,The LHCP is unable to edit or remove any past appointments.,{decision: deny; subject: lhcp; action: remove; resource: past appointments; condition: none; purpose: none},10
3929,An HCP may enter or edit their own demographic information according to data format 6.2.,{decision: allow; subject: hcp; action: edit; resource: their own demographic information; condition: none; purpose: none},10
3930,"During the review phase, reviewer may submit a review for paper if reviewer is assigned to review paper.",{decision: deny; subject: reviewer; action: submit; resource: review; condition: reviewer is assigned to review paper; purpose: none},0
3931,In case of a system failure backups should be restored to recover the data.,{decision: allow; subject: backups; action: be restored; resource: data; condition: none; purpose: system recovery},11
3932,An LHCP views the physiologic data monitoring details.,{decision: allow; subject: none; action: view; resource: physiologic data monitoring details; condition: none; purpose: none},6
3933,"When the use case starts, if it is determined that registration for the current semester has been closed, a message is displayed to the Professor, and the use case terminates.",{decision: allow; subject: none; action: display; resource: message; condition: it is determined that registration for the current semester has been closed; purpose: none | decision: allow; subject: none; action: terminate; resource: use case; condition: it is determined that registration for the current semester has been closed; purpose: data confidentiality},5
3934,Employees can only edit their own profiles.,{decision: allow; subject: employees; action: edit; resource: course offerings a professor is scheduled to teach; condition: none; purpose: none},3
3935,The LHCP clicks the reply link above the message text.,{decision: allow; subject: lhcp; action: click; resource: reply link; condition: none; purpose: avoid ‘pollution’ of the demo data},5
3936,"The patient views the list sorted by dates, most recent access first.",{decision: allow; subject: patient; action: view; resource: list; condition: reviewer would like to review each paper that a reviewer would like to review; purpose: none},4
3937,An LHCP or patient or representative can sort his or her message inbox and message outbox .,{decision: allow; subject: representatives; action: sort; resource: message inbox; condition: none; purpose: none | decision: allow; subject: patients; action: sort; resource: message inbox; condition: none; purpose: none | decision: allow; subject: lhcps; action: sort; resource: message outbox; condition: none; purpose: none | decision: allow; subject: representatives; action: sort; resource: message outbox; condition: none; purpose: none | decision: allow; subject: patients; action: sort; resource: message outbox; condition: none; purpose: none | decision: allow; subject: none; action: sort; resource: message inbox; condition: none; purpose: none},6
3938,The system shall store reason id number for the reason and the name of the reason.,{decision: deny; subject: system; action: store; resource: reason id number; condition: none; purpose: none | decision: allow; subject: system; action: store; resource: name of the reason; condition: none; purpose: none},0
3939,The HCP is still not allowed to enter the security key and password of its patient.,{decision: deny; subject: hcp; action: enter; resource: password of its patient; condition: none; purpose: none | decision: deny; subject: hcp; action: enter; resource: security key of its patient; condition: none; purpose: none},11
3940,"After a message is sent, the LHCP is directed to to his or her message outbox.",{decision: deny; subject: none; action: direct; resource: lhcp; condition: none; purpose: none},0
3941,A LHCP creates UAPs.,{decision: allow; subject: lhcp; action: create; resource: uaps; condition: none; purpose: none},11
3942,The administrator is not allowed to modify the hospital ID number in an existing entry.,{decision: deny; subject: administrator; action: modify; resource: hospital id number in an existing entry; condition: none; purpose: just read almost all},5
3943,The doctor cannot gain permanent access to this resident\'s written records ( but according to the patient notes of the resident unlike any usual doctor ).,{decision: deny; subject: manager; action: access; resource: residents written records; condition: none; purpose: none},1
3944,The HCP enters a patient as a new user of iTrust Medical Records system.,{decision: allow; subject: hcp; action: enter; resource: patient; condition: none; purpose: solve these conflicts},5
3945,"HCP does not have the ability to enter, edit or view the patient's security question or password.",{decision: deny; subject: hcp; action: view; resource: patients security question; condition: none; purpose: none | decision: deny; subject: hcp; action: view; resource: patients password; condition: none; purpose: none | decision: deny; subject: hcp; action: enter; resource: patients password; condition: none; purpose: none | decision: deny; subject: hcp; action: edit; resource: patients password; condition: none; purpose: none | decision: deny; subject: hcp; action: complete; resource: patients security question; condition: none; purpose: none | decision: deny; subject: hcp; action: enter; resource: patients security question; condition: none; purpose: none},2
3946,"The event is logged (UC 5, S8) and the HCP is returned in the specific office visit record to verify his or her changes.",{decision: allow; subject: none; action: log; resource: event; condition: none; purpose: none | decision: allow; subject: hcp; action: return; resource: desired changes; condition: none; purpose: verify his or her changes},3
3947,"(After a patient or personal representative has not taken her office visit satisfaction test for an office visit yet ) the patient is prohibited to take one survey as an office visit ( if the survey has already been taken, the patient will never have the chance to take the survey or view their previously submitted survey ).",{decision: deny; subject: patient; action: take; resource: survey; condition: survey has already been taken; purpose: none | decision: deny; subject: patient; action: take; resource: survey; condition: patient or personal representative has not taken her office visit satisfaction test for an office visit yet; purpose: office visit},10
3948,A prescription list is then displayed.,{decision: allow; subject: none; action: display; resource: none; condition: none; purpose: none},7
3949,A patient's personal representative or a patient or personal representative sends a message to DLHCP or that of a person they are representing.,{decision: allow; subject: patient; action: send; resource: none; condition: none; purpose: none | decision: allow; subject: personal representative; action: send; resource: message; condition: none; purpose: none | decision: allow; subject: patient’s personal representative; action: send; resource: message; condition: none; purpose: none},7
3950,An LHCP or patient or representative can sort his or her message inbox and message outbox .,{decision: allow; subject: representatives; action: sort; resource: message inbox; condition: none; purpose: none | decision: allow; subject: patients; action: sort; resource: message inbox; condition: none; purpose: none | decision: allow; subject: lhcps; action: sort; resource: message outbox; condition: none; purpose: none | decision: allow; subject: representatives; action: sort; resource: message outbox; condition: patient or personal health representative has not taken an office visit satisfaction survey to an office visit yet; purpose: none | decision: allow; subject: patients; action: sort; resource: message outbox; condition: none; purpose: none | decision: allow; subject: lhcps; action: sort; resource: message inbox; condition: none; purpose: none},4
3951,System presents a listing of all his patients to view weight or pedometer data reported during the current date.,{decision: allow; subject: system; action: store; resource: listing of all his patients; condition: none; purpose: view weight or pedometer data reported during the current date},2
3952,"For each paper that a reviewer would like to review, the corresponding checkbox in the left part of the window should be marked.",{decision: allow; subject: none; action: mark; resource: checkbox in the left part of the window; condition: reviewer would like to review the paper that a reviewer would like to review; purpose: none},11
3953,"The hcp documents the office visit date; hospital location of the office visit, if any, (the default should be the HCP's home location); and notes about an office visit.",{decision: allow; subject: hcp; action: document; resource: none; condition: none; purpose: none | decision: allow; subject: hcp; action: document; resource: hospital location of the office visit; condition: none; purpose: none | decision: allow; subject: hcp; action: document; resource: office visit date; condition: none; purpose: none},7
3954,"The hcp documents the office visit date; hospital location of the office visit, if any, (the default should be the HCP's home location); and notes about an office visit.",{decision: allow; subject: hcp; action: document; resource: hospital location of the office visit; condition: none; purpose: none | decision: allow; subject: hcp; action: document; resource: office visit date; condition: none; purpose: none},10
3955,The Lab Technician enters the lab procedure numerical result and confidence interval for the lab procedure with the status of testing.,{decision: allow; subject: lab technician; action: enter; resource: lab procedure numerical result; condition: none; purpose: testing},10
3956,System presents a list of the patients.,{decision: allow; subject: system; action: respond; resource: list of patients; condition: none; purpose: none},2
3957,Note that the administrator is not allowed to delete an existing entry or change the reason ID number in an existing entry via the system interface.,{decision: deny; subject: administrator; action: change; resource: reason id number; condition: none; purpose: none | decision: deny; subject: administrator; action: delete; resource: existing entry; condition: none; purpose: none},11
3958,"In case a reviewer has already submitted a review of the selected paper, hyperlinks to the reviews of the other reviewers are shown, so that the reviewer can read their opinion.",{decision: allow; subject: none; action: show; resource: hyperlinks to the reviews of the other reviewers; condition: none; purpose: reviewer can read their opinion},8
3959,Professors cannot change the courses they teach after registration for the current semester.,{decision: deny; subject: professors; action: change; resource: courses they teach; condition: in the update a student  or delete a student  sub-flows_ student with the specified id number does not exist; purpose: none},4
3960,An LHCP views his iTrust homepage.,{decision: allow; subject: lhcp; action: upload; resource: itrust homepage; condition: none; purpose: none},2
3961,"A patient, patient representative, or LHCP selects one option out of the ""by order of"" labeled drop-down box (with options of ""ascending"" or ""descending"").",{decision: allow; subject: patient representative; action: select; resource: option; condition: none; purpose: none | decision: allow; subject: patient; action: select; resource: option; condition: none; purpose: none},10
3962,A copy of the message is sent to the PCC.,{decision: allow; subject: none; action: toggle; resource: copy of the message; condition: none; purpose: none},2
3963,An HCP can reassign a previously created lab procedure to a different Lab Technician if the lab procedure is not yet in the testing state.,{decision: allow; subject: hcp; action: reassign; resource: previously created lab procedure; condition: no subjects are admitted; purpose: none},4
3964,Display the National Drug Code and the name of the prescription.,{decision: allow; subject: none; action: display; resource: lab procedure dates of the current month; condition: none; purpose: none | decision: allow; subject: none; action: display; resource: name of the prescription; condition: none; purpose: none},3
3965,"The user selects a message from the message inbox or outbox to read by clicking the ""Read"" link beside the row for the message, and then the message subject, the name of the sender, the name of the the recipient, timestamp, and the message text shall be displayed in a new page.",{decision: allow; subject: board of directors; action: click; resource: “read” link; condition: none; purpose: none | decision: allow; subject: user; action: select; resource: message; condition: none; purpose: read},1
3966,The LHCP views the physiologic data monitoring details of his patients for the current date.,{decision: allow; subject: lhcp; action: view; resource: physiologic data monitoring details of his patients; condition: condition is satisfied; purpose: none},4
3967,"Although it can enter past medical records when a resident is admitted, it cannot then add medical records to the system.",{decision: allow; subject: none; action: enter; resource: past medical records; condition: none; purpose: none | decision: deny; subject: it; action: add; resource: medical records; condition: none; purpose: none},6
3968," ""In case of emergency any employee can activate the fire alarm system.""",{decision: deny; subject: employee; action: activate; resource: fire alarm system; condition: emergency; purpose: none},0
3969,A user chooses to view physician satisfaction survey results.,{decision: allow; subject: user; action: view; resource: physician satisfaction survey results; condition: none; purpose: none},11
3970,An LHCP reviews pending consultations.,{decision: allow; subject: lhcp; action: send out; resource: pending consultations; condition: none; purpose: none},2
3971,To ensure data confidentiality only authorized personnel can view the financial statements.,{decision: allow; subject: none; action: view; resource: financial statements; condition: none; purpose: data confidentiality},6
3972,"The HCP must provide instructions (can neither be empty nor the default form field value), or else they cannot add the prescription.",{decision: allow; subject: none; action: provide; resource: instructions; condition: none; purpose: none | decision: deny; subject: hcp; action: add; resource: prescriptions; condition: none; purpose: none},6
3973,"The lab technician can specialize in blood work, tissue work, or general.",{decision: allow; subject: lab technician; action: convert; resource: tissue work; condition: none; purpose: none | decision: allow; subject: lab technician; action: specialize; resource: general; condition: none; purpose: none | decision: allow; subject: lab technician; action: specialize; resource: blood work; condition: none; purpose: none},2
3974,"Customer Service Reps, Pharmacists, and Billing Reps can collect and use customer name and date of birth to help confirm identity.",{decision: allow; subject: billing reps; action: collect; resource: customer name; condition: none; purpose: help confirm identity | decision: allow; subject: customer service reps; action: use; resource: date of birth; condition: none; purpose: help confirm identity | decision: allow; subject: pharmacists; action: collect; resource: customer name; condition: none; purpose: help confirm identity | decision: allow; subject: billing reps; action: collect; resource: date of birth; condition: none; purpose: help confirm identity | decision: allow; subject: pharmacists; action: use; resource: date of birth; condition: none; purpose: help confirm identity | decision: allow; subject: customer service reps; action: collect; resource: customer name; condition: none; purpose: help confirm identity | decision: allow; subject: billing reps; action: use; resource: date of birth; condition: none; purpose: help confirm identity | decision: allow; subject: customer service reps; action: use; resource: customer name; condition: none; purpose: help confirm identity | decision: allow; subject: billing reps; action: use; resource: customer name; condition: none; purpose: help confirm identity | decision: allow; subject: pharmacists; action: use; resource: customer name; condition: none; purpose: help confirm identity | decision: allow; subject: pharmacists; action: collect; resource: date of birth; condition: none; purpose: help confirm identity},10
3975,John can assign clerk to users from department A,{decision: allow; subject: john; action: assign; resource: none; condition: none; purpose: none},7
3976,No combination of roles exists such that a user with those roles can both Receive and Assign the resource ExternalGrades.,{decision: allow; subject: user; action: assign; resource: externalgrades; condition: none; purpose: none | decision: deny; subject: user; action: receive; resource: externalgrades; condition: none; purpose: none},0
